,Date,predicted_load
446,2016-03-22,5661.792027058807
447,2016-03-23,5660.66078945881
448,2016-03-24,5611.96081045187
449,2016-03-25,5547.7574774089635
450,2016-03-26,5013.9672564223765
451,2016-03-27,4910.388771064478
452,2016-03-28,5504.852695872035
453,2016-03-29,5568.96174319402
454,2016-03-30,5567.028720035113
455,2016-03-31,5517.442652636636
456,2016-04-01,5452.35225348944
457,2016-04-02,4917.765307781021
458,2016-04-03,4813.576669174661
459,2016-04-04,5407.71486856931
460,2016-04-05,5471.878721370243
461,2016-04-06,5470.472020177949
462,2016-04-07,5421.96642090977
463,2016-04-08,5358.581903673929
464,2016-04-09,4826.38348513557
465,2016-04-10,4725.306961885668
466,2016-04-11,5323.303765099809
467,2016-04-12,5392.076373244459
468,2016-04-13,5396.012413587867
469,2016-04-14,5353.547585492661
470,2016-04-15,5296.846792133211
471,2016-04-16,4771.902142716141
472,2016-04-17,4678.560570495248
473,2016-04-18,5284.671094045479
474,2016-04-19,5361.823098688472
475,2016-04-20,5374.283684023654
476,2016-04-21,5340.364113312846
477,2016-04-22,5292.104644716321
478,2016-04-23,4775.376293589798
479,2016-04-24,4689.912155525165
480,2016-04-25,5303.458202803343
481,2016-04-26,5387.514820660605
482,2016-04-27,5406.277026620387
483,2016-04-28,5378.00331685949
484,2016-04-29,5334.702341654003
485,2016-04-30,4822.235897435801
486,2016-05-01,4740.3508217010585
487,2016-05-02,5356.829679681543
488,2016-05-03,5443.231505905302
489,2016-05-04,5463.830561335495
490,2016-05-05,5436.98308778467
491,2016-05-06,5394.811318599781
492,2016-05-07,4883.303307754539
493,2016-05-08,4802.341253597784
494,2016-05-09,5419.848309054808
495,2016-05-10,5507.5252539667945
496,2016-05-11,5529.7851093222935
497,2016-05-12,5505.115796940889
498,2016-05-13,5465.76022471319
499,2016-05-14,4957.812476171215
500,2016-05-15,4881.2428893642955
501,2016-05-16,5504.042114224534
502,2016-05-17,5597.955607377387
503,2016-05-18,5627.416710546953
504,2016-05-19,5610.90846373827
505,2016-05-20,5580.64356058645
506,2016-05-21,5082.6611307138255
507,2016-05-22,5016.853118685108
508,2016-05-23,5651.110312258134
509,2016-05-24,5757.05942240221
510,2016-05-25,5798.999286256071
511,2016-05-26,5795.266253079485
512,2016-05-27,5777.918055847555
513,2016-05-28,5292.834738173909
514,2016-05-29,5239.749283941565
515,2016-05-30,5886.397876764951
516,2016-05-31,6004.261066481539
517,2016-06-01,6057.503792766159
518,2016-06-02,6064.344211487415
519,2016-06-03,6056.740529353184
520,2016-06-04,5580.494318398232
521,2016-06-05,5535.282896845353
522,2016-06-06,6188.810646438028
523,2016-06-07,6312.550513277131
524,2016-06-08,6370.683632690184
525,2016-06-09,6381.467037329312
526,2016-06-10,6376.918683165075
527,2016-06-11,5902.918330098654
528,2016-06-12,5859.236927682079
529,2016-06-13,6513.684472257196
530,2016-06-14,6637.847686934016
531,2016-06-15,6696.025581507817
532,2016-06-16,6706.59297581186
533,2016-06-17,6701.681349420901
534,2016-06-18,6227.275682861376
535,2016-06-19,6183.24006554507
536,2016-06-20,6837.462153988454
